,stock_symbol,timestamp,close,volume,ma_5,ma_10,ma_50,daily_return,intraday_volatility,prev_day_close,prev_day_return,price_diff,target
1923,IBM,2007-06-27 00:00:00+05:00,105.43,5403800,,,,,,105.43,,0.0,0
1924,IBM,2007-06-28 00:00:00+05:00,105.95,5430900,,,,,,105.95,,0.0,0
1925,IBM,2007-06-29 00:00:00+05:00,105.25,7018400,,,,,,105.25,,0.0,0
1926,IBM,2007-07-02 00:00:00+05:00,105.01,4701300,,,,,,105.01,,0.0,0
1927,IBM,2007-07-03 00:00:00+05:00,106.58,4217900,,,,,,106.58,,0.0,0
1928,IBM,2007-07-05 00:00:00+05:00,108.05,6670900,,,,,,108.05,,0.0,0
1929,IBM,2007-07-06 00:00:00+05:00,109.03,8977200,,,,,,109.03,,0.0,0
1930,IBM,2007-07-09 00:00:00+05:00,108.97,6046300,,,,,,108.97,,0.0,0
1931,IBM,2007-07-10 00:00:00+05:00,108.63,6209300,,,,,,108.63,,0.0,0
1932,IBM,2007-07-11 00:00:00+05:00,109.1,5887800,,,,,,109.1,,0.0,0
1933,IBM,2007-07-12 00:00:00+05:00,109.28,9544100,,,,,,109.28,,0.0,0
1934,IBM,2007-07-13 00:00:00+05:00,108.6,7124100,,,,,,108.6,,0.0,0
1935,IBM,2007-07-16 00:00:00+05:00,109.66,8864200,,,,,,109.66,,0.0,0
1936,IBM,2007-07-17 00:00:00+05:00,110.77,7619900,,,,,,110.77,,0.0,0
1937,IBM,2007-07-18 00:00:00+05:00,111.08,10154100,,,,,,111.08,,0.0,0
1938,IBM,2007-07-19 00:00:00+05:00,115.86,17281600,,,,,,115.86,,0.0,0
1939,IBM,2007-07-20 00:00:00+05:00,114.81,11706300,,,,,,114.81,,0.0,0
1940,IBM,2007-07-23 00:00:00+05:00,116.38,8040900,,,,,,116.38,,0.0,0
1941,IBM,2007-07-24 00:00:00+05:00,116.17,10499300,,,,,,116.17,,0.0,0
1942,IBM,2007-07-25 00:00:00+05:00,118.1,11340000,,,,,,118.1,,0.0,0
1943,IBM,2007-07-26 00:00:00+05:00,116.53,16822100,,,,,,116.53,,0.0,0
1944,IBM,2007-07-27 00:00:00+05:00,115.62,18138700,,,,,,115.62,,0.0,0
1945,IBM,2007-07-30 00:00:00+05:00,114.52,15095400,,,,,,114.52,,0.0,0
1946,IBM,2007-07-31 00:00:00+05:00,110.65,17816200,,,,,,110.65,,0.0,0
1947,IBM,2007-08-01 00:00:00+05:00,112.04,12390300,,,,,,112.04,,0.0,0
1948,IBM,2007-08-02 00:00:00+05:00,113.23,11318900,,,,,,113.23,,0.0,0
1949,IBM,2007-08-03 00:00:00+05:00,111.89,9571300,,,,,,111.89,,0.0,0
1950,IBM,2007-08-06 00:00:00+05:00,113.89,7245500,,,,,,113.89,,0.0,0
1951,IBM,2007-08-07 00:00:00+05:00,113.53,8021400,,,,,,113.53,,0.0,0
1952,IBM,2007-08-08 00:00:00+05:00,112.98,7681400,,,,,,112.98,,0.0,0
1953,IBM,2007-08-09 00:00:00+05:00,110.73,9086000,,,,,,110.73,,0.0,0
1954,IBM,2007-08-10 00:00:00+05:00,112.64,9592200,,,,,,112.64,,0.0,0
1955,IBM,2007-08-13 00:00:00+05:00,112.71,6135500,,,,,,112.71,,0.0,0
1956,IBM,2007-08-14 00:00:00+05:00,112.05,5615600,,,,,,112.05,,0.0,0
1957,IBM,2007-08-15 00:00:00+05:00,111.23,11640200,,,,,,111.23,,0.0,0
1958,IBM,2007-08-16 00:00:00+05:00,109.69,16723000,,,,,,109.69,,0.0,0
1959,IBM,2007-08-17 00:00:00+05:00,110.9,15274600,,,,,,110.9,,0.0,0
1960,IBM,2007-08-20 00:00:00+05:00,109.22,9839800,,,,,,109.22,,0.0,0
1961,IBM,2007-08-21 00:00:00+05:00,109.04,8458500,,,,,,109.04,,0.0,0
1962,IBM,2007-08-22 00:00:00+05:00,110.0,6329700,,,,,,110.0,,0.0,0
1963,IBM,2007-08-23 00:00:00+05:00,111.45,8271000,,,,,,111.45,,0.0,0
1964,IBM,2007-08-24 00:00:00+05:00,113.24,7058700,,,,,,113.24,,0.0,0
1965,IBM,2007-08-27 00:00:00+05:00,113.44,4921800,,,,,,113.44,,0.0,0
1966,IBM,2007-08-28 00:00:00+05:00,112.0,6006600,,,,,,112.0,,0.0,0
